sku,name,reviewStars,reviewCount,status,price,discount,url
LUS884,LumiSource Pino Mid-Century Modern Adjustable Bar Stool,,,IN_STOCK,151.71,10,https://www.hayneedle.com/product/lumisourcepinomidcenturymodernadjustablebarstool.cfm
ELET983,Picket House Furnishings Becca Adjustable Barstool - Set of 2,,,IN_STOCK,162.68,5,https://www.hayneedle.com/product/pickethousefurnishingsbeccaadjustablebarstoolsetof2.cfm
HME2925,Weston Home Edmond Collection 29H in. Swivel Bar Height Stool - Vertical Design,,,IN_STOCK,129.99,8,https://www.hayneedle.com/product/edmond-collection-29h-in-swivel-bar-height-stool-vertical-design.cfm
WWI428,International Concepts Vinyard Counter Stool,,,IN_STOCK,163.84,0,https://www.hayneedle.com/product/international-concepts-vinyard-counter-stool.cfm
ENLB4789,Furniture of America Roseanne 24.75 in. Rustic Tufted Counter Stool,,,IN_STOCK,305.99,11,https://www.hayneedle.com/product/furnitureofamericaroseannerustictuftedcounterstool.cfm
HME1909,Weston Home Edmond Lattice Back Swivel Bar Stool,4,2,IN_STOCK,155.29,0,https://www.hayneedle.com/product/edmondlatticebackswivelbarstool.cfm
CCH233,Carolina Gilbert 30 in. Bar Stool,,,IN_STOCK,100.99,0,https://www.hayneedle.com/product/carolina-gilbert-30-in-bar-stool.cfm
BOR298,Boraam Cantabria Swivel Counter Stool,4.5,14,IN_STOCK,169.49,0,https://www.hayneedle.com/product/boraam-cantabria-swivel-counter-stool.cfm
LHD2262,Linon Adjustable Counter Stool,,,IN_STOCK,124.17,0,https://www.hayneedle.com/product/linonadjustablecounterstool.cfm
ELET1069,Picket House Furnishings Keaton 29 in. Bar Stool,5,1,IN_STOCK,173.99,4,https://www.hayneedle.com/product/pickethousefurnishingskeaton29inbarstool.cfm
AA1619,Armen Living Pia 30 in. Swivel Bar Stool,,,IN_STOCK,255,0,https://www.hayneedle.com/product/armenlivingtaddeo30inswivelbarstool.cfm
CHIT184,Chic Teak Teak Round Bar Stool,,,IN_STOCK,222.99,0,https://www.hayneedle.com/product/chicteakteakroundbarstool.cfm
AA1131,Armen Living Prinz 30 in. Bar Height Metal Swivel Bar Stool,4,4,IN_STOCK,244.27,0,https://www.hayneedle.com/product/armenlivingprinz30inbarheightmetalswivelbarstool.cfm
TII024,TRINITY 29 in. Chrome Swivel Bar Stool 2 Pk. - Black,5,4,IN_STOCK,149.92,0,https://www.hayneedle.com/product/trinity29inchromeswivelbarstool2pkassembledblack.cfm
AA1018,Armen Living Raleigh 30 in. Swivel Bar Stool,4.5,2,IN_STOCK,329.4,0,https://www.hayneedle.com/product/armen-living-raleigh-30-in-swivel-bar-stool.cfm
