sku,name,ratingValue,reviewCount,price,url
1005952,Juliet Black Velvet Quilt and Pillow Shams,,,59.95-299.95,https://www.crateandbarrel.com/juliet-black-velvet-quilt-and-pillow-shams/f1005952
74409,Brushed Gunmetal Wall Frames,4.5,20,44.95-59.95,https://www.crateandbarrel.com/brushed-gunmetal-wall-frames/f74409
68323,Pop Aqua Acrylic Drink Glasses,3,10,2.99-3.49,https://www.crateandbarrel.com/pop-aqua-acrylic-drink-glasses/f68323
547724,Tempaper Grey Moire Dots Removable Wallpaper,,,39.99,https://www.crateandbarrel.com/tempaper-grey-moire-dots-removable-wallpaper/s547724
312844,Black and White Balance Wall Art,,,999.00,https://www.crateandbarrel.com/black-and-white-balance-wall-art/s312844
273284,Capra Mantel Mirror,5,1,349.00,https://www.crateandbarrel.com/capra-mantel-mirror/s273284
1006864,Liloo Marble Vase Faux Arrangement,,,29.95-89.90,https://www.crateandbarrel.com/liloo-marble-vase-faux-arrangement/f1006864
334603,Batten Storage Bench and 2 Three-Hook Coat Racks,,,817.00,https://www.crateandbarrel.com/batten-storage-bench-and-2-three-hook-coat-racks/s334603
302756,Live Coffee Plant in Bryant Planter by The Sill,,,59.95,https://www.crateandbarrel.com/live-coffee-plant-in-bryant-planter-by-the-sill/s302756
586002,"Wood and Marble Salad Servers, Set of 2",3.3,29,39.95,https://www.crateandbarrel.com/wood-and-marble-salad-servers-set-of-2/s586002
78138,Sphere Light Gray Indoor/Outdoor Planters,4.8,517,129.00-179.00,https://www.crateandbarrel.com/sphere-light-gray-indoor-outdoor-planters/f78138
99331,Faux Hemlock Pre-Lit LED Christmas Trees with White Lights,,,199.00-699.00,https://www.crateandbarrel.com/faux-hemlock-pre-lit-led-christmas-trees-with-white-lights/f99331
216214,Lockhart 3-Tier Tabletop Sculpture,5,3,49.99,https://www.crateandbarrel.com/lockhart-3-tier-tabletop-sculpture/s216214
284234,Luxe High Wing Back Chair,4.8,19,1299.99,https://www.crateandbarrel.com/luxe-high-wing-back-chair/s284234
404889,Framed Felt Letter Board,4.6,28,32.00,https://www.crateandbarrel.com/framed-felt-letter-board/s404889
38173,Sedona Honey Hamper,4.9,7,119.95-139.90,https://www.crateandbarrel.com/sedona-honey-hamper/f38173
1004271,White Natural Hemp Fiber Sheet Sets,,,49.95-279.95,https://www.crateandbarrel.com/white-natural-hemp-fiber-sheet-sets/f1004271
85601,Waffle-Terry Organic Bath Towels,4.6,62,4.99-19.99,https://www.crateandbarrel.com/waffle-terry-organic-bath-towels/f85601
565685,Helsing Desk,4.7,21,599.00,https://www.crateandbarrel.com/helsing-desk/s565685
83611,Hypoallergenic Heavyweight Duvet Inserts,4.8,13,169.95-229.95,https://www.crateandbarrel.com/hypoallergenic-heavyweight-duvet-inserts/f83611
95228,Organic Cotton Blue Duvet Covers and Pillow Shams,4.4,324,39.95-169.95,https://www.crateandbarrel.com/washed-organic-cotton-blue-duvet-covers-and-pillow-shams/f95228
77510,400 Thread Count Sateen Sheet Sets,4.3,140,29.95-179.95,https://www.crateandbarrel.com/400-thread-count-sateen-sheet-sets/f77510
231343,Chevron Fireplace Screen,4.7,83,249.00,https://www.crateandbarrel.com/chevron-fireplace-screen/s231343
378584,Actually Curious Card Game - Happy Hour Edition,,,25.00,https://www.crateandbarrel.com/actually-curious-card-game--happy-hour-edition/s378584
264651,Nooee Toby Small Pet Cave,5,5,65.95,https://www.crateandbarrel.com/nooee-toby-small-pet-cave/s264651
467067,Pure Enrichment PureZone ™ Halo True HEPA Air Purifier,4.8,37,79.00,https://www.crateandbarrel.com/pure-enrichment-purezone-halo-true-hepa-air-purifier/s467067
1006554,LED Ceramic Trees,5,2,29.95-39.95,https://www.crateandbarrel.com/led-ceramic-trees/f1006554
356194,"April Silver Queen Dried Bouquet 8"" by Leanne Ford",3,2,12.95,https://www.crateandbarrel.com/april-silver-queen-dried-bouquet-8-by-leanne-ford/s356194
1004736,Coleto Black and White Abstract Rug,,,799.00-2599.00,https://www.crateandbarrel.com/coleto-black-and-white-abstract-rug/f1004736
314356,Yamazaki Tosca Tiered Jewelry Dish with Mirror,,,36.00,https://www.crateandbarrel.com/yamazaki-tosca-tiered-jewelry-dish-with-mirror/s314356
682154,Tyler Square Basket With Rope Handle Low,4.8,76,89.95,https://www.crateandbarrel.com/tyler-square-basket-with-rope-handle-low/s682154
506825,Craft Shop Clay Footed Bowl by Leanne Ford,4.6,40,39.95,https://www.crateandbarrel.com/craft-shop-clay-footed-bowl-by-leanne-ford/s506825
342402,"Faux Red Berry and Pine Wreath 24""",5,2,79.95,https://www.crateandbarrel.com/faux-red-berry-and-pine-wreath-24/s342402
